capacitance,unit,cap_code,voltage,tolerance,temp_min,temp_max,material
4.7,pF,4R7,100 V,10,-55,125,ceramic
7,pF,,500 V,7,-55,150,mica
10,pF,100,50 V,10,-55,125,ceramic
20,pF,200,50 V,10,-55,125,ceramic
47,pF,470,50 V,10,-55,125,ceramic
100,pF,101,50 V,10,-55,125,ceramic
150,pF,151,50 V,10,-55,125,ceramic
220,pF,221,50 V,10,-55,125,ceramic
330,pF,331,50 V,10,-55,125,ceramic
390,pf,391,250 V,5,-55,125,ceramic
470,pF,471,50 V,10,-55,125,ceramic
680,pF,681,50 V,10,-55,125,ceramic
1,nF,102,50 V,10,-55,125,ceramic
2.2,nF,222,50 V,10,-55,125,ceramic
3.3,nF,332,50 V,10,-55,125,ceramic