type,diagram,name,desc_pt,desc,IfAV,Io,Ifsm,Vrrm,Vr,fM,Trr,Ir,Pmax,Vzmin,Vzmax,Vztyp,Iz,Zz,Zzk,Izk,Izsm
smallsignal,glass-diode.jpg,1N4148,8,Small Signal Diode,150 mA,,2 A,100 V,75 V,100 MHz,4 ns,5 uA,500 mW,,,,,,,,
smallsignal,glass-diode.jpg,1N914,8,Small Signal Diode,200 mA,,1 A,100 V,75 V,100 MHz,4 ns,5 uA,500 mW,,,,,,,,
smallsignal,bat-diode.jpg,BAT43,8,Small Signal Schottky Diode,200 mA,,4 A,30 V,30 V,,5 ns,0.5 uA,200 mW,,,,,,,,
smallsignal,diode-diagram.jpg,1N916,8,Small Signal Diode,300 mA,200 mA,4 A,100 V,75 V,,4 ns,5 uA,500 mW,,,,,,,,
switching,glass-diode.jpg,1S2473,8,Switching Diode,100 mA,110 mA,300 mA,40 V,35 V,,4 ns,0.5 uA,300 mW,,,,,,,,
zener,zener-diode.png,1N4733A,8,Zener Diode,,,,,,,,,1 W,4.845 V,5.355 V,5.1 V,49 mA,7,550,,
zener,zener-diode.png,1N5236B,8,Zener Diode,,,,,,,,,500 mW,2.4 V,75 V,7.5 V,Ptot/Vz mA,6,500,,
zener,zener-diode.png,RS4.7JS,8,,,,,,,,,,400 mW,4.42 V,4.61 V,,5 mA,100,800,,
schottky,schottky-diode.jpg,1N5822,8,Power Schottky Diode,3 A,,80 A,40 V,40 V,,,20 mA,,,,,,,,,
schottky,diode-diagram.jpg,PTC205,8,Rectifier Diode,2.5 A,,80 A,1000 V,,,,1 uA,,,,,,,,,