model,resistance,code,tolerance,turns
3296W,100,101,10,25
3296W,1000,102,10,25
3296W,10000,103,10,25
3296W,100000,104,10,25
3296W,200,201,10,25
3296W,2000,202,10,25
3296W,20000,203,10,25
3296W,200000,204,10,25
3296W,500,501,10,25
3296W,5000,502,10,25
3296W,50000,503,10,25
3296W,500000,504,10,25
3296W,5000000,505,10,25
6MM,100,101,10,1
6MM,1000,102,10,1
6MM,10000,103,10,1
6MM,100000,104,10,1
6MM,1000000,105,10,1
6MM,200,201,10,1
6MM,2000,202,10,1
6MM,20000,203,10,1
6MM,200000,204,10,1
6MM,2000000,205,10,1
6MM,300,301,10,1
6MM,3000,302,10,1
6MM,30000,303,10,1
6MM,300000,304,10,1
6MM,3000000,305,10,1